"","Term","BIC","lldiff","Chisq","Df","pChi","Estimate","z","p"
"m1","Linear",32269.1,8.2,16.5,1,"< 0.001",-13.12,-13.58,"< 0.001"
"m2","Quadratic",32186,45.2,90.5,1,"< 0.001",41.4,15.854,"< 0.001"
"m3","Cubic",31888.2,152.6,305.3,1,"< 0.001",-34.46,-17.797,"< 0.001"
