"","","Model Comparison","","","","","Model Estimate","",""
"X","Term","BIC","Log Likelihood Difference","Chi Squared","Df","p","Estimate","z","p"
"Sound Class","Linear","32156","0","0","1","0.885","-10.56","-11.153","< 0.001"
"Sound Class","Quadratic","32104.9","29.2","58.5","1","< 0.001","31.15","13.996","< 0.001"
"Sound Class","Cubic","31874.5","118.9","237.8","1","< 0.001","-24.17","-15.778","< 0.001"
"Feature","Linear","32269.1","8.2","16.5","1","< 0.001","-13.12","-13.58","< 0.001"
"Feature","Quadratic","32186","45.2","90.5","1","< 0.001","41.4","15.854","< 0.001"
"Feature","Cubic","31888.2","152.6","305.3","1","< 0.001","-34.46","-17.797","< 0.001"
"Historical","Linear","32284.2","0.7","1.4","1","0.241","-3.92","-3.982","< 0.001"
"Historical","Quadratic","32172.8","59.4","118.8","1","< 0.001","16.25","6.432","< 0.001"
"Historical","Cubic","32112.3","34","67.9","1","< 0.001","-15.27","-8.536","< 0.001"
