"","Term","BIC","lldiff","Chisq","Df","pChi","Estimate","z","p"
"m1","Linear",32156,0,0,1,"0.885",-10.56,-11.153,"< 0.001"
"m2","Quadratic",32104.9,29.2,58.5,1,"< 0.001",31.15,13.996,"< 0.001"
"m3","Cubic",31874.5,118.9,237.8,1,"< 0.001",-24.17,-15.778,"< 0.001"
