"","Term","BIC","lldiff","Chisq","Df","pChi","Estimate","z","p"
"m1","Linear",34839,11.3,22.6,1,"< 0.001",-3.04,-2.817,"0.005"
"m2","Quadratic",34754.1,46.2,92.4,1,"< 0.001",14.24,5.09,"< 0.001"
"m3","Cubic",34709.8,25.9,51.7,1,"< 0.001",-13.5,-6.785,"< 0.001"
