"","Term","BIC","lldiff","Chisq","Df","pChi","Estimate","z","p"
"m1","Linear",20946.5,102.6,205.3,1,"< 0.001",-32.43,-18.2,"< 0.001"
"m2","Quadratic",20907.2,23.2,46.3,1,"< 0.001",77.44,17.015,"< 0.001"
"m3","Cubic",20638.1,138.1,276.2,1,"< 0.001",-51.69,-16.373,"< 0.001"
